edge_id,lanes,node_1,node_2,node_1_lat,node_1_lon,node_2_lat,node_2_lon
250699362_250699984,5.4,250699362,250699984,37.9829088,23.7332314,37.9824212,23.7323057
250699362_250708641,6.0,250699362,250708641,37.9829088,23.7332314,37.9834614,23.7343073
250708556_250708641,5.4,250708556,250708641,37.9839097,23.7351894,37.9834614,23.7343073
250691795_250699359,13.0,250691795,250699359,37.9802494,23.735395,37.9815409,23.734332
250698926_250699612,7.0,250698926,250699612,37.9811089,23.7322913,37.9818871,23.7338043
250699359_8446047162,5.7,250699359,8446047162,37.9815409,23.734332,37.9820845,23.7354034
250699972_8446047162,5.0,250699972,8446047162,37.9825444,23.7363098,37.9820845,23.7354034
250700084_250700085,8.0,250700084,250700085,37.9841573,23.7322095,37.9847425,23.7317305
250700083_250700084,9.4,250700083,250700084,37.9832887,23.7329218,37.9841573,23.7322095
250709162_250709255,4.5,250709162,250709255,37.9814103,23.7341943,37.9801784,23.7352724
300400248_8446047162,6.5,300400248,8446047162,37.9812755,23.736061,37.9820845,23.7354034
250699614_250699711,6.0,250699614,250699711,37.9824892,23.7350745,37.9829851,23.734674
250706958_388172075,6.0,250706958,388172075,37.9838327,23.7340148,37.984495,23.7334846
250699614_250699615,6.0,250699614,250699615,37.9824892,23.7350745,37.9829447,23.7359813
250699613_250699614,8.0,250699613,250699614,37.9819811,23.7339908,37.9824892,23.7350745
250700339_250706959,6.0,250700339,250706959,37.9847346,23.7332909,37.9853174,23.7328196
250700083_388172056,5.5,250700083,388172056,37.9832887,23.7329218,37.9836516,23.7336753
250699983_250699984,5.5,250699983,250699984,37.982014,23.7315114,37.9824212,23.7323057
